日期,三月期收益率,六月期收益率,一年期收益率,二年期收益率,三年期收益率,五年期收益率,七年期收益率,十年期收益率,二十年期收益率,三十年期收益率
2015/2/9,0.031228,0.030586,0.030856,0.031147,0.031536,0.03328,0.03358,0.034236,0.0381,0.039136
2015/2/10,0.031516,0.031162,0.030932,0.031102,0.031443,0.033277,0.033453,0.034299,0.038163,0.039199
2015/2/11,0.031516,0.030786,0.030928,0.031037,0.031308,0.032856,0.032982,0.033954,0.037819,0.038855
2015/2/12,0.031388,0.030789,0.030872,0.030947,0.031145,0.032509,0.032718,0.033865,0.037729,0.038855
2015/2/13,0.031088,0.030815,0.030859,0.03086,0.030872,0.032167,0.032613,0.033552,0.037416,0.039055
2015/2/15,0.031135,0.03052,0.030656,0.03066,0.030733,0.032118,0.032413,0.033625,0.037489,0.039128
2015/2/16,0.030756,0.030182,0.030801,0.030527,0.030588,0.031966,0.032206,0.033374,0.037238,0.038877
2015/2/17,0.030756,0.030182,0.030623,0.030744,0.030948,0.031974,0.032314,0.033373,0.037238,0.038877
2015/2/25,0.030656,0.030014,0.030353,0.030524,0.030764,0.031821,0.031982,0.03349,0.037354,0.038993
2015/2/26,0.030491,0.029858,0.030353,0.030524,0.030762,0.031934,0.032258,0.033594,0.037458,0.039052
2015/2/27,0.030691,0.030531,0.030438,0.030786,0.031142,0.032128,0.032412,0.033745,0.037609,0.039203
2015/2/28,0.030991,0.030731,0.030396,0.030866,0.031311,0.032164,0.032257,0.033602,0.037466,0.03906
2015/3/2,0.030811,0.030231,0.030488,0.030959,0.031428,0.03233,0.032745,0.033883,0.037747,0.039341
2015/3/3,0.030511,0.030233,0.030341,0.030843,0.031364,0.032541,0.033022,0.034022,0.037886,0.03948
2015/3/4,0.030811,0.030229,0.030291,0.030928,0.031524,0.032406,0.032926,0.033869,0.037733,0.039327
2015/3/5,0.030811,0.030624,0.030518,0.031269,0.031961,0.032882,0.033427,0.034369,0.038233,0.039827
2015/3/6,0.031061,0.030911,0.030576,0.031643,0.032515,0.033015,0.033425,0.034753,0.038617,0.040211
2015/3/9,0.03191,0.031325,0.030787,0.031728,0.032563,0.033327,0.033962,0.034922,0.038786,0.04038
2015/3/10,0.031942,0.031288,0.030812,0.031837,0.03271,0.033269,0.033624,0.035228,0.039092,0.040686
2015/3/11,0.031763,0.03123,0.030615,0.031377,0.032085,0.032969,0.033161,0.034466,0.03833,0.039924
2015/3/12,0.031469,0.031182,0.030495,0.031288,0.032016,0.032825,0.032961,0.034412,0.038276,0.03987
2015/3/13,0.031676,0.031261,0.030944,0.031602,0.03226,0.033305,0.033411,0.034879,0.038743,0.040337
2015/3/16,0.031496,0.031198,0.030944,0.03165,0.032356,0.033397,0.03383,0.035301,0.039165,0.040759
2015/3/17,0.031496,0.031224,0.031142,0.031675,0.032207,0.033201,0.033902,0.035428,0.039292,0.040886
2015/3/18,0.031303,0.031282,0.031042,0.031687,0.032332,0.033404,0.034101,0.035519,0.039383,0.040977
2015/3/19,0.031192,0.031429,0.030992,0.031629,0.032267,0.033357,0.034051,0.035348,0.039683,0.041277
2015/3/20,0.031192,0.031327,0.03102,0.031589,0.032157,0.032943,0.03371,0.034958,0.039466,0.041059
2015/3/23,0.031424,0.03133,0.031032,0.031745,0.032458,0.033029,0.033976,0.034933,0.039441,0.041034
2015/3/24,0.031374,0.031063,0.031031,0.031734,0.032487,0.033086,0.034079,0.034841,0.039547,0.04114
2015/3/25,0.031574,0.031285,0.031183,0.031775,0.032367,0.033254,0.034066,0.035037,0.039743,0.041336
2015/3/26,0.032063,0.031942,0.031483,0.031929,0.032376,0.033799,0.034934,0.03544,0.040146,0.041739
2015/3/27,0.032736,0.031685,0.031833,0.03215,0.032466,0.034271,0.034838,0.035678,0.040384,0.04211
2015/3/30,0.032936,0.031656,0.031833,0.0323,0.032766,0.034526,0.03532,0.035849,0.040555,0.042281
2015/3/31,0.032673,0.031724,0.032236,0.032651,0.033066,0.034625,0.036047,0.036483,0.041189,0.042281
2015/4/1,0.032267,0.031127,0.032186,0.032552,0.032917,0.034524,0.035474,0.035997,0.040703,0.041795
2015/4/2,0.03137,0.031021,0.031743,0.032176,0.032609,0.034113,0.03502,0.035438,0.040153,0.041245
2015/4/3,0.03137,0.03109,0.031753,0.032181,0.03261,0.034013,0.03556,0.03572,0.040435,0.041527
2015/4/7,0.03153,0.031202,0.031801,0.032282,0.032763,0.034549,0.035579,0.035987,0.040702,0.041794
2015/4/8,0.03119,0.030927,0.031802,0.032411,0.03302,0.034749,0.036486,0.036938,0.041652,0.042744
2015/4/9,0.03019,0.030327,0.031202,0.031991,0.032779,0.034671,0.036547,0.03704,0.041783,0.042938
