,日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM市值加权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2235,2015-11-04,3628.538,4242.08,28896948802584.5,21549609500678.0,8909139083100.285,13.2829,0.3876,26.0389,15.2021,10.3894
2234,2015-11-05,3705.97,4332.6,29555344492547.902,22032267223551.0,9102649848651.592,13.5855,0.4152,26.0389,15.2021,10.3894
2233,2015-11-06,3793.374,4434.78,30120944515843.902,22449887741293.0,9320714628524.023,13.8438,0.4298,26.0389,15.2012,10.3894
2232,2015-11-09,3840.355,4489.71,30645489726594.8,22821566149310.0,9438401387408.469,14.0845,0.4452,26.0389,15.2021,10.3894
2231,2015-11-10,3833.238,4481.39,30544256987095.39,22748239608385.0,9423621381880.582,14.0379,0.4415,26.0389,15.2021,10.3894
2230,2015-11-11,3833.646,4481.86,30483887671188.08,22705162092087.0,9423977795908.797,14.0102,0.4403,26.0389,15.2021,10.3894
2229,2015-11-12,3795.324,4437.06,30177938696970.902,22482041360885.0,9329755093180.951,13.8643,0.4308,26.0389,15.2021,10.3894
2228,2015-11-13,3746.242,4379.68,29792410142809.3,22190251823318.0,9212087247897.63,13.6872,0.4199,26.0389,15.2012,10.3894
2227,2015-11-16,3764.126,4400.59,29907229805886.51,22298556549902.0,9256121653236.082,13.7476,0.4217,26.0389,15.2021,10.3894
2226,2015-11-17,3758.387,4393.88,29931500835121.305,22312202305361.0,9242190768731.234,13.7588,0.4222,26.0389,15.2021,10.3894
2225,2015-11-18,3715.58,4343.86,29683966853894.31,22134263420853.0,9137917999718.389,13.645,0.4168,26.0389,15.2021,10.3894
2224,2015-11-19,3774.969,4413.3,30027029757848.008,22394393653935.0,9285378616848.004,13.8004,0.4255,26.0389,15.2021,10.3894
2223,2015-11-20,3774.383,4412.61,30000187466370.72,22381282568690.0,9284648569341.648,13.7881,0.424,26.0389,15.2012,10.3894
2222,2015-11-23,3753.335,4388.0,29848698465112.203,22268683731245.0,9230222088762.02,13.7185,0.4193,26.0389,15.2021,10.3894
2221,2015-11-24,3753.889,4388.65,29823792102355.707,22247365937155.0,9233237030459.424,13.707,0.418,26.0389,15.2021,10.3894
2220,2015-11-25,3781.607,4421.06,30029600123399.0,22403655784431.0,9303426908425.13,13.8016,0.4255,26.0389,15.2021,10.3894
2219,2015-11-26,3759.429,4395.13,29902583985502.71,22302616635483.0,9248113999617.58,13.7432,0.4197,26.0389,15.2021,10.3894
2218,2015-11-27,3556.992,4158.46,28376936840122.31,21141458698727.0,8748479511077.98,13.0421,0.3767,26.0389,15.2012,10.3894
2217,2015-11-30,3566.412,4169.47,28473614617222.004,21201427732189.0,8770310748583.63,13.0865,0.3785,26.0389,15.2021,10.3894
2216,2015-12-01,3591.696,4199.03,28548824214235.297,21290177141012.0,8827483999800.97,13.1211,0.3806,26.0389,15.2021,10.3894
2215,2015-12-02,3721.955,4351.32,29619840587544.703,22064224212295.0,9148345388618.568,13.6133,0.4119,26.0389,15.2021,10.3894
2214,2015-12-03,3749.299,4383.28,29990949509477.2,22312301733922.0,9215046277906.809,13.7839,0.4226,26.0389,15.2021,10.3894
2213,2015-12-04,3677.592,4299.45,29319957306151.1,21840421196207.0,9037128610619.688,13.4755,0.4014,26.0389,15.2012,10.3894
2212,2015-12-07,3687.607,4311.16,29311121418190.5,21849877156467.0,9062356845196.27,13.4719,0.4003,26.0389,15.2021,10.3894
2211,2015-12-08,3623.02,4235.65,28791461284376.707,21466250333850.0,8905674836477.566,13.2331,0.3847,26.0389,15.2021,10.3894
2210,2015-12-09,3635.938,4250.75,28886417986344.49,21537107975812.0,8931589647598.693,13.2737,0.388,26.0389,15.2021,10.3894
2209,2015-12-10,3623.084,4235.73,28751679514967.902,21431385784215.0,8903458998550.922,13.2118,0.3847,26.0389,15.2021,10.3894
2208,2015-12-11,3608.059,4218.16,28612170895761.11,21331825723291.0,8867598530765.865,13.1477,0.3816,26.0389,15.2012,10.3894
2207,2015-12-14,3711.322,4338.89,30274397532422.2,22176459596260.0,9230662459539.057,13.6702,0.4164,26.0389,15.2021,10.3894
2206,2015-12-15,3694.389,4319.09,30054281651520.71,22029874563799.0,9187844870525.82,13.5676,0.4094,26.0389,15.2021,10.3894
2205,2015-12-16,3685.44,4309.15,30033802117848.41,22002575982574.0,9164302807202.229,13.5585,0.409,26.0389,15.2021,10.3894
2204,2015-12-17,3755.888,4391.52,30519313197053.12,22352211581956.0,9339801760750.045,13.7776,0.4226,26.0389,15.2021,10.3894
2203,2015-12-18,3767.913,4405.58,30586890846793.0,22387032395234.0,9373394052937.045,13.8082,0.4269,26.0389,15.2012,10.3894
2202,2015-12-21,3865.965,4520.22,31216447059920.914,22869977349209.0,9616398401004.22,14.0924,0.4456,26.0389,15.2021,10.3894
2201,2015-12-22,3876.733,4532.81,31235913640011.59,22891808896642.0,9642318547152.254,14.1011,0.446,26.0389,15.2021,10.3894
2200,2015-12-23,3866.381,4520.71,31186223494151.992,22849791723357.0,9619070964560.05,14.0787,0.4432,26.0389,15.2021,10.3894
2199,2015-12-24,3829.402,4477.47,30937159438475.39,22664133393121.0,9528423064369.02,13.9663,0.4374,26.0389,15.2021,10.3894
2198,2015-12-25,3838.201,4487.76,30976171511866.605,22704341573375.0,9553213111921.22,13.9959,0.4389,26.0389,15.2012,10.3894
2197,2015-12-28,3727.632,4358.5,30175565041986.105,22106344488078.0,9278663657226.59,13.6341,0.4156,26.0389,15.2021,10.3894
2196,2015-12-29,3761.875,4398.54,30413378649758.19,22297905102552.0,9362407836161.611,13.7416,0.4209,26.0389,15.2021,10.3894
2195,2015-12-30,3765.175,4402.4,30488158973799.51,22308252345225.0,9379092340314.389,13.7806,0.4246,26.0389,15.2021,10.3894
2194,2015-12-31,3731.005,4362.44,30254092184792.098,22144172590739.0,9312045630885.203,13.6748,0.418,26.0389,15.2021,10.3894
2193,2016-01-04,3469.066,4056.17,28366727394835.69,20753559666619.0,8666699441770.75,12.8217,0.3693,26.0389,15.2012,10.3894
