,日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM市值加权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2392,2015-03-16,3705.671,4267.78,28846619807824.1,21525560970053.0,8107937642703.23,13.3603,0.3882,26.1687,14.8298,10.3779
2391,2015-03-17,3757.122,4327.04,29251070674448.19,21827100803452.0,8223627608155.334,13.5473,0.4104,26.1687,14.8287,10.3779
2390,2015-03-18,3846.055,4429.46,29934065743740.99,22322798583273.0,8425646738372.563,13.8561,0.438,26.0995,14.8284,10.3826
2389,2015-03-19,3839.739,4422.18,29850916885805.41,22291523292787.0,8397911912483.891,13.8196,0.4345,26.0995,14.8281,10.3826
2388,2015-03-20,3892.574,4483.03,30167056641980.203,22525453360635.0,8548716395011.98,13.9467,0.4472,26.0995,14.8166,10.3826
2387,2015-03-23,3972.061,4574.58,30718442732943.9,22948510509007.0,8734070184590.883,14.3629,0.4772,26.0995,14.8051,10.3826
2386,2015-03-24,3973.046,4575.71,30731806345890.305,22977877322383.0,8735556059550.715,14.3523,0.4758,26.0995,14.8027,10.3826
2385,2015-03-25,3940.412,4538.13,30330158874235.4,22686027723356.0,8667533823575.55,14.1559,0.4653,26.0906,14.8004,10.385
2384,2015-03-26,3949.999,4549.17,30554086007943.3,22880140050872.0,8731952909002.165,14.3383,0.475,26.0906,14.7957,10.385
2383,2015-03-27,3971.697,4574.16,30601782415397.805,22913416035178.0,8781149568996.323,14.5074,0.4839,26.0906,14.7909,10.385
2382,2015-03-30,4088.178,4708.31,31505799526169.0,23588158784950.0,9043766815220.19,14.9084,0.506,26.0906,14.7957,10.385
2381,2015-03-31,4051.204,4665.73,31174180504696.3,23339465309058.0,9019330618069.283,14.7202,0.4967,26.0906,14.7909,10.385
2380,2015-04-01,4123.895,4749.44,31651759483307.19,23693167222259.0,9183598254878.21,14.9479,0.5072,26.0657,14.7957,10.3875
2379,2015-04-02,4124.776,4750.46,31641137411885.094,23678182396054.0,9185637915013.674,14.9448,0.5066,26.0657,14.8004,10.3875
2378,2015-04-03,4170.538,4803.16,31859813819173.3,23849684887715.0,9297613204083.465,15.0464,0.5163,26.0657,14.8027,10.3875
2377,2015-04-07,4260.044,4906.24,32642319039470.69,24434764097376.0,9498486378603.72,15.4207,0.5478,26.0657,14.8051,10.3875
2376,2015-04-08,4295.803,4947.43,32992121829429.8,24698038916666.0,9578024169911.42,15.5863,0.5694,26.0657,14.8166,10.3875
2375,2015-04-09,4262.138,4909.06,32688384433465.8,24462819264168.0,9498899515103.717,15.4349,0.5501,26.0657,14.8166,10.3875
2374,2015-04-10,4344.416,5003.83,33322251695836.49,24885627166187.0,9684384272591.182,15.7324,0.5873,26.0389,14.8281,10.3894
2373,2015-04-13,4421.073,5092.59,34073198730212.188,25390286181920.0,9851526050129.662,16.0831,0.6164,26.0657,14.8166,10.3875
2372,2015-04-14,4438.184,5112.61,34094838323008.2,25433679779673.0,9885389248841.19,16.0963,0.6172,26.0657,14.8166,10.3875
2371,2015-04-15,4380.513,5046.73,33904667553806.49,25332605872228.0,9758991064343.717,16.0035,0.6106,26.0657,14.8166,10.3875
2370,2015-04-16,4513.546,5200.04,34923532015935.2,26121733306594.0,10055451150937.334,16.483,0.6366,26.0657,14.8166,10.3875
